task_id,title,description,type,status,priority,assignee,reporter,created_at,start_time,end_time,due_date,estimated_hours,actual_hours,category,board_name,sprint_name,labels,comments_count
1, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,To Do,Medium,charlie,diana,2025-05-20 23:43:16,2025-05-25 23:43:16,,2025-05-30 23:43:16,8.7,,Research,Sprint 2,Sprint 2,"backend, database, ui",4
2,Epic task for Design,Please handle a Epic related to Design. Priority: Critical.,Epic,Blocked,Critical,diana,eve,2025-06-01 19:22:47,2025-06-05 19:22:47,,2025-06-08 19:22:47,6.8,,Design,Sprint 2,Sprint 2,api,11
3,Bug task for Design,Please handle a Bug related to Design. Priority: Medium.,Bug,In Progress,Medium,alice,charlie,2025-06-13 01:27:16,2025-06-16 01:27:16,,2025-06-26 01:27:16,11.9,,Design,Sprint 1,Sprint 1,api,1
4,Bug task for Development,Please handle a Bug related to Development. Priority: Low.,Bug,Review,Low,diana,alice,2025-05-16 12:51:38,2025-05-19 12:51:38,,2025-05-22 12:51:38,15.8,,Development,Sprint 1,Sprint 1,"api, backend",6
5,Epic task for Research,Please handle a Epic related to Research. Priority: High.,Epic,Completed,High,charlie,eve,2025-06-06 22:32:51,2025-06-11 22:32:51,2025-06-16 22:32:51,2025-06-18 22:32:51,5.1,6.8,Research,Sprint 2,Sprint 2,"backend, deploy",7
6,Task task for Design,Please handle a Task related to Design. Priority: Medium.,Task,Blocked,Medium,eve,bob,2025-06-01 13:01:26,2025-06-03 13:01:26,,2025-06-15 13:01:26,3.1,,Design,Sprint 3,Sprint 3,"ui, backend, ml",7
7,Story task for Development,Please handle a Story related to Development. Priority: Low.,Story,To Do,Low,bob,charlie,2025-06-05 17:13:41,2025-06-07 17:13:41,,2025-06-16 17:13:41,4.8,,Development,Sprint 5,Sprint 5,"ml, deploy, backend",1
8,Bug task for Design,Please handle a Bug related to Design. Priority: Medium.,Bug,In Progress,Medium,alice,bob,2025-05-22 04:12:57,2025-05-26 04:12:57,,2025-05-30 04:12:57,8.5,,Design,Sprint 5,Sprint 5,"ui, ml",9
9,Epic task for Design,Please handle a Epic related to Design. Priority: High.,Epic,Blocked,High,bob,charlie,2025-05-22 08:02:24,2025-05-27 08:02:24,,2025-05-27 08:02:24,15.7,,Design,Sprint 1,Sprint 1,"backend, auth",5
10, including authentication and profile updates, to improve system usability and security. Focus on backend and UI integration.,Story,To Do,Critical,bob,eve,2025-05-17 19:16:02,2025-05-18 19:16:02,,2025-05-30 19:16:02,2.8,,Research,Sprint 5,Sprint 5,"ui, ml, api",3
