task_id,title,description,type,status,priority,assignee,reporter,created_at,start_time,end_time,due_date,estimated_hours,actual_hours,category,board_name,sprint_name,labels,comments_count
1,Finally training ahead same others determine home.,Training many still administration point. Table thus production remember her line difficult. Detail lead than experience when so full management.,Story,To Do,Medium,charlie,diana,2025-05-20 23:43:16,2025-05-25 23:43:16,,2025-05-30 23:43:16,8.7,,Research,Sprint 2,Sprint 2,"backend, database, ui",4
2,Quickly ball there receive increase usually college.,Price traditional likely such under. Suggest admit industry end north yes capital. Treat account public appear.,Epic,Blocked,Critical,diana,eve,2025-06-01 19:22:47,2025-06-05 19:22:47,,2025-06-08 19:22:47,6.8,,Design,Sprint 2,Sprint 2,api,11
3,Center resource radio customer say wide meet.,Today most scientist movie current billion. Main manage appear seem. Especially special same or career.,Bug,In Progress,Medium,alice,charlie,2025-06-13 01:27:16,2025-06-16 01:27:16,,2025-06-26 01:27:16,11.9,,Design,Sprint 1,Sprint 1,api,1
4,Same message modern standard list morning likely.,Different front help manage know foot. Trial expect seem budget growth forward serious career.,Bug,Review,Low,diana,alice,2025-05-16 12:51:38,2025-05-19 12:51:38,,2025-05-22 12:51:38,15.8,,Development,Sprint 1,Sprint 1,"api, backend",6
5,Growth room account Mrs first last.,Sit another we probably avoid its my. To hot base box result authority during.,Epic,Completed,High,charlie,eve,2025-06-06 22:32:51,2025-06-11 22:32:51,2025-06-16 22:32:51,2025-06-18 22:32:51,5.1,6.8,Research,Sprint 2,Sprint 2,"backend, deploy",7
6,Executive son report trouble clear.,Everyone strategy third south establish good generation. Mouth room management every federal cell. Whole body cultural fish cultural feel. Discuss start represent build community.,Task,Blocked,Medium,eve,bob,2025-06-01 13:01:26,2025-06-03 13:01:26,,2025-06-15 13:01:26,3.1,,Design,Sprint 3,Sprint 3,"ui, backend, ml",7
7,Public language nor business speech.,Glass still final catch friend stay bag easy. Kid huge follow know push get through.,Story,To Do,Low,bob,charlie,2025-06-05 17:13:41,2025-06-07 17:13:41,,2025-06-16 17:13:41,4.8,,Development,Sprint 5,Sprint 5,"ml, deploy, backend",1
8,Stand order education close.,Product lead sound alone. Practice national here others executive worry my. Them early organization floor. Oil rise learn catch leader.,Bug,In Progress,Medium,alice,bob,2025-05-22 04:12:57,2025-05-26 04:12:57,,2025-05-30 04:12:57,8.5,,Design,Sprint 5,Sprint 5,"ui, ml",9
9,Maintain reveal yeah.,Once home herself recently event black. Third story week market various Republican state. Blue kind time member cut. Difference serious up hair.,Epic,Blocked,High,bob,charlie,2025-05-22 08:02:24,2025-05-27 08:02:24,,2025-05-27 08:02:24,15.7,,Design,Sprint 1,Sprint 1,"backend, auth",5
10,Indicate international today including fly outside.,Boy however rock everything federal manager. Heavy full father remain lay write.,Story,To Do,Critical,bob,eve,2025-05-17 19:16:02,2025-05-18 19:16:02,,2025-05-30 19:16:02,2.8,,Research,Sprint 5,Sprint 5,"ui, ml, api",3
11,Avoid wait fall before.,Place level others million. Decision rock unit run point.,Story,Review,Medium,charlie,alice,2025-06-06 08:30:59,2025-06-10 08:30:59,,2025-06-11 08:30:59,14.3,,Research,Sprint 4,Sprint 4,"database, ml",4
12,Art age high teach the forget finish sport.,Side necessary so anything. West life send result anyone thing medical. Create support matter these lead trial own page.,Epic,In Progress,High,charlie,eve,2025-05-19 04:51:01,2025-05-23 04:51:01,,2025-05-27 04:51:01,10.4,,Testing,Sprint 1,Sprint 1,auth,11
13,Oil player matter religious health while.,Structure everything real almost you note game. Matter forget window. Cover support blood leader stand.,Bug,In Progress,Critical,eve,charlie,2025-05-25 09:45:12,2025-05-30 09:45:12,,2025-06-05 09:45:12,12.0,,Testing,Sprint 4,Sprint 4,"ui, backend, ml",14
14,After church pick always.,Baby perhaps yard century sell. Which nature east recognize.,Task,Blocked,Critical,diana,charlie,2025-06-02 03:44:49,2025-06-06 03:44:49,,2025-06-16 03:44:49,10.6,,Development,Sprint 5,Sprint 5,"database, ml",4
15,Natural though example test hour.,Huge official minute heart medical thing herself color. Within point use situation play institution pick husband.,Bug,Blocked,Medium,eve,bob,2025-06-11 05:57:36,2025-06-13 05:57:36,,2025-06-22 05:57:36,9.2,,Design,Sprint 3,Sprint 3,"database, backend, auth",2
16,Piece administration day teach.,Though large open rest. Series surface how take experience despite attack. Million require ago hundred mission technology.,Story,To Do,Low,diana,charlie,2025-05-17 03:30:02,2025-05-18 03:30:02,,2025-05-26 03:30:02,5.1,,Testing,Sprint 3,Sprint 3,"backend, api",10
17,Fill a suddenly hold center guess through.,West at large whether necessary.,Bug,Blocked,High,eve,charlie,2025-06-04 17:00:30,2025-06-06 17:00:30,,2025-06-12 17:00:30,14.6,,Design,Sprint 2,Sprint 2,"ml, auth, deploy",10
18,Save start gun power.,Happen commercial speech stand should its. Marriage race record.,Task,Blocked,Medium,eve,charlie,2025-05-31 23:27:08,2025-06-04 23:27:08,,2025-06-12 23:27:08,15.3,,Research,Sprint 1,Sprint 1,"deploy, database, api",5
19,Side good drive head trade listen even.,Economic board nearly open professor production. Ahead despite final year ok size maybe. Environment action important turn ask. Speech series right anyone.,Task,In Progress,Medium,alice,eve,2025-05-25 19:51:15,2025-05-28 19:51:15,,2025-06-01 19:51:15,14.1,,Testing,Sprint 3,Sprint 3,"ml, deploy",8
20,List young man task step.,Various shake discussion where organization place strategy. I wonder team. Others realize energy whom discuss.,Story,In Progress,Critical,eve,alice,2025-05-25 23:31:56,2025-05-26 23:31:56,,2025-06-06 23:31:56,5.5,,Research,Sprint 5,Sprint 5,"api, auth",12
21,On century loss technology husband number garden.,Tv or place expert they cell. Rise condition just majority little remain. Project face wait town also.,Bug,Completed,Critical,bob,charlie,2025-05-31 17:08:07,2025-06-02 17:08:07,2025-06-05 17:08:07,2025-06-14 17:08:07,5.7,7.9,Design,Sprint 4,Sprint 4,"backend, ui",6
22,Animal work work everyone she apply live child.,Situation always billion imagine carry rise floor. Side author clearly performance but peace themselves. Drop join act various real.,Story,Review,Low,charlie,bob,2025-06-11 03:30:36,2025-06-13 03:30:36,,2025-06-24 03:30:36,7.9,,Design,Sprint 5,Sprint 5,backend,1
23,Past leg agent may.,Laugh operation while activity economy receive.,Epic,Blocked,Critical,alice,eve,2025-05-31 00:59:24,2025-06-02 00:59:24,,2025-06-13 00:59:24,14.5,,Research,Sprint 2,Sprint 2,api,5
24,Per same third during and.,Perhaps become hit somebody as four. Color same remember expect. Poor third usually choice fund fish capital.,Epic,Review,Medium,bob,eve,2025-06-05 17:51:24,2025-06-09 17:51:24,,2025-06-15 17:51:24,12.8,,Testing,Sprint 5,Sprint 5,"ml, deploy",13
25,Live own end without option now.,Audience white tax. Off meet western that hundred.,Epic,Review,Critical,eve,bob,2025-05-15 21:29:31,2025-05-19 21:29:31,,2025-05-21 21:29:31,10.3,,Research,Sprint 4,Sprint 4,"ml, backend, auth",8
